company_id,company_name,legal_form,sector,region,size_category,founded_year,age_years,employees,revenues_mdl,assets_mdl,liabilities_mdl,equity_mdl,bank_borrowings_mdl,trade_payables_mdl,intercompany_loans_in_mdl,ebitda_margin,net_margin,interest_coverage,current_ratio,quick_ratio,working_capital_to_assets,retained_earnings_to_assets,roa,roe,sales_growth,probability_of_distress,distress_flag,network_out_degree,network_in_degree,out_exposure_total_mdl,in_exposure_total_mdl,contagion_index_equity_at_risk,vulnerability_bucket,top5_counterparty_share_out
CO100010,Compania N010 Rezina SA,SA,N-Servicii administrative,Telenești,Mici,2012,13,56,10341510.67,11208355.52,6199435.28,5008920.24,3496235.52,935869.07,348029.62,0.3456,0.25,6.4,1.42,0.77,-0.067,0.038,0.231,0.5,-0.009,0.0062,0,14,8,19179156.2,14882301.61,0.998,Ridicat,0.75
CO100011,Compania K011 Anenii Noi SRL,SRL,K-Financiar,Criuleni,Mici,2023,2,25,42390683.3,35594999.98,19959996.85,15635003.13,13847629.96,2346886.52,1856713.7,0.161,0.1078,2.83,1.24,0.76,0.307,0.053,0.128,0.292,0.061,0.0064,0,12,7,60466562.39,18036674.66,3.436,Sever,0.95
CO100012,Compania G012 Nisporeni SRL,SRL,G-Comerț cu ridicata&amănuntul,Nisporeni,Mari,2017,8,329,363174299.93,235109643.86,92063046.61,143046597.25,45513041.9,27407369.26,4109837.3,0.1766,0.0958,17.72,1.92,1.69,0.022,0.274,0.148,0.243,-0.107,0.0002,0,9,14,23172073.09,102286608.5,0.071,Foarte scăzut,0.921
CO100013,Compania G013 Căușeni SRL,SRL,G-Comerț cu ridicata&amănuntul,Dondușeni,Mari,2003,22,623,292271075.8,267818852.66,165744501.63,102074351.03,89029350.42,48903342.52,3757691.98,0.2125,0.1466,4.54,0.65,0.2,0.321,0.36,0.16,0.42,0.047,0.0054,0,12,12,69458354.94,25959663.1,0.64,Moderat,0.973
CO100014,Compania R014 Cantemir SRL,SRL,R-Cultură&Recreere,Căușeni,Micro,2009,16,7,469251.5,1000000.0,855873.27,144126.73,410852.79,145797.46,66493.65,0.1364,0.1029,1.17,1.54,1.25,-0.01,0.029,0.048,0.335,0.395,0.0731,0,12,7,7512906.36,2000435.99,10.0,Sever,0.772
CO100015,Compania G015 Cantemir SRL,SRL,G-Comerț cu ridicata&amănuntul,Ocnița,Mici,2013,12,41,17152756.27,14341267.51,10059703.77,4281563.74,5921319.8,2719443.36,738207.6,0.1173,-0.0236,2.34,0.66,0.05,0.104,-0.074,-0.028,-0.094,-0.001,0.1161,0,8,14,24448665.55,8876720.45,2.005,Sever,0.971
CO100016,Compania F016 Chișinău SRL,SRL,F-Construcții,Taraclia,Mijlocii,2012,13,97,49200153.12,53472159.19,34952918.47,18519240.72,16755643.01,8938208.31,914313.91,0.0776,0.0326,2.07,1.94,1.44,0.03,-0.032,0.03,0.087,0.297,0.0021,0,8,2,8155532.49,2483104.2,0.175,Scăzut,0.923
CO100017,Compania G017 Nisporeni SRL,SRL,G-Comerț cu ridicata&amănuntul,Dondușeni,Mici,1994,31,35,16319628.53,17585999.73,8434493.07,9151506.66,5810210.85,1016548.07,320366.51,0.2031,0.0919,4.35,1.93,1.19,0.071,0.088,0.085,0.164,0.344,0.0009,0,10,11,6853007.9,14989314.83,0.239,Scăzut,0.845
CO100018,Compania G018 Rîșcani SRL,SRL,G-Comerț cu ridicata&amănuntul,Soroca,Mici,2001,24,47,6451556.5,6978213.24,4360074.79,2618138.45,2783009.48,666349.52,233024.88,0.1747,0.1549,3.96,1.11,0.82,0.294,0.09,0.143,0.382,0.003,0.0204,0,9,8,24612753.2,14710219.54,2.802,Sever,0.955
CO100019,Compania H019 Ștefan Vodă II,II,H-Transport&Depozitare,UTA Găgăuzia,Micro,1992,33,13,977085.9,1043556.89,737771.22,305785.67,283661.15,186590.96,20812.93,0.1431,0.0584,3.37,1.39,0.95,0.075,0.185,0.055,0.187,0.154,0.0417,0,8,9,11092774.69,7218653.64,6.92,Sever,0.984
CO100020,Compania K020 Cahul SRL,SRL,K-Financiar,Taraclia,Micro,2020,5,15,2034689.14,2859038.23,546710.32,2312327.91,374531.56,100878.07,25044.61,0.0342,-0.061,1.49,1.62,0.87,0.106,0.022,-0.043,-0.054,0.294,0.0075,0,10,9,7608916.91,3736871.69,1.023,Ridicat,0.87
CO100021,Compania F021 UTA Găgăuzia SRL,SRL,F-Construcții,Sîngerei,Micro,1993,32,8,3599819.44,4995640.63,3719475.1,1276165.53,2042461.39,507283.76,139076.85,0.2266,0.2119,3.39,2.12,1.51,0.05,0.053,0.153,0.5,0.212,0.0036,0,18,12,37364485.94,20229142.17,9.925,Sever,0.903
CO100022,Compania N022 Cimișlia SRL,SRL,N-Servicii administrative,Rîșcani,Mijlocii,2014,11,127,26946367.68,26134959.05,13291875.17,12843083.88,5370562.88,2406631.8,1246245.39,0.1185,0.0633,8.85,1.35,1.13,0.219,-0.199,0.065,0.133,-0.077,0.0033,0,17,14,26017730.93,24017309.33,0.737,Ridicat,0.751
CO100023,Compania A023 Ocnița SRL,SRL,A-Agricultură,Telenești,Mijlocii,2003,22,66,65073977.7,49897347.34,30382551.52,19514795.82,17886250.85,8218335.86,2225159.4,0.0384,-0.0419,0.83,0.49,0.33,0.147,0.182,-0.055,-0.14,-0.052,0.1339,0,12,6,13806500.24,12971811.59,0.197,Scăzut,0.915
CO100024,Compania A024 Telenești SA,SA,A-Agricultură,Hîncești,Mici,2003,22,41,30561759.36,25635020.73,11803530.21,13831490.52,6163695.25,1310956.83,984289.36,0.2219,0.1854,10.09,2.12,1.67,0.249,-0.113,0.221,0.41,0.173,0.0002,0,3,8,1534538.42,11248350.36,0.053,Foarte scăzut,1.0
CO100025,Compania G025 Hîncești II,II,G-Comerț cu ridicata&amănuntul,Ștefan Vodă,Mijlocii,2014,11,112,62612722.27,51370054.51,23786534.28,27583520.23,15269533.51,2713130.78,1129374.26,0.1011,0.1092,3.77,1.77,1.4,0.064,0.006,0.133,0.248,0.297,0.001,0,8,13,16418450.9,21264452.63,0.148,Scăzut,0.965
CO100026,Compania J026 Orhei SRL,SRL,J-Informații&Comunicații,Cantemir,Mici,1993,32,27,26247274.87,25804583.51,11779749.92,14024833.59,5861716.17,1848007.05,1160018.89,0.1122,0.0717,5.02,1.24,0.96,0.193,0.039,0.073,0.134,0.119,0.0043,0,11,6,6052376.69,1736036.5,0.159,Scăzut,0.753
CO100027,Compania F027 Rezina SRL,SRL,F-Construcții,Glodeni,Mici,1994,31,25,3733906.07,4712490.69,1561664.86,3150825.83,1132573.03,239142.2,64866.34,0.0917,0.0268,2.74,1.29,0.88,0.092,-0.009,0.021,0.032,0.073,0.0162,0,8,12,2980419.31,14030048.66,0.226,Scăzut,0.873
CO100028,Compania L028 Dubăsari SRL,SRL,L-Imobiliare,UTA Găgăuzia,Mici,2023,2,9,18225911.06,22073620.96,15004715.69,7068905.27,8965715.17,4394697.43,893366.67,0.1172,0.0702,1.87,2.1,1.76,0.309,-0.12,0.058,0.181,0.071,0.0022,0,9,12,11348130.39,25136174.17,1.354,Ridicat,0.947
CO100029,Compania H029 Briceni SRL,SRL,H-Transport&Depozitare,Cantemir,Mici,2022,3,7,7251287.58,9098889.4,3320163.03,5778726.37,2173709.07,572631.39,302837.51,0.0024,-0.0572,0.05,0.77,0.21,0.094,-0.042,-0.046,-0.072,-0.014,0.1444,0,11,8,15501908.21,11329259.08,0.804,Ridicat,0.855
CO100030,Compania A030 Cahul SA,SA,A-Agricultură,Ocnița,Micro,1995,30,5,556456.22,1000000.0,687946.08,312053.92,432346.71,140798.22,66312.68,0.2798,0.219,3.08,1.4,1.08,0.158,0.009,0.122,0.39,-0.099,0.0437,0,13,7,9819073.72,21271798.61,10.0,Sever,0.772
CO100031,Compania A031 Chișinău SRL,SRL,A-Agricultură,Ocnița,Mici,2003,22,45,10597882.9,9684459.2,5977799.95,3706659.25,4426538.13,658130.01,437078.22,0.1324,0.0992,3.39,2.29,1.59,0.129,0.129,0.109,0.284,0.208,0.0012,0,12,12,26187768.53,16183950.96,2.53,Sever,0.938
CO100032,Compania K032 Ialoveni SRL,SRL,K-Financiar,Cantemir,Micro,2015,10,10,4071117.74,4454252.41,1945107.1,2509145.31,1076126.82,257012.52,110551.11,0.0971,0.1039,2.38,1.53,1.38,0.022,0.316,0.095,0.169,0.016,0.0176,0,9,12,10741479.68,28606756.78,1.336,Ridicat,0.921
CO100033,Compania E033 Glodeni SRL,SRL,E-Apă&Deșeuri,Florești,Mijlocii,2010,15,77,27272818.51,22992178.65,18220148.2,4772030.45,6572472.87,3296806.42,1415961.89,0.1634,0.1208,7.47,0.76,0.14,0.106,0.109,0.143,0.5,0.124,0.0266,0,7,11,31150089.53,12951983.79,5.05,Sever,0.987
CO100034,Compania J034 Basarabeasca SRL,SRL,J-Informații&Comunicații,Telenești,Micro,2020,5,9,3240754.0,4883660.87,3648580.03,1235080.84,1281881.96,825348.89,107286.54,0.0256,-0.0483,0.52,0.37,0.05,-0.058,0.267,-0.032,-0.127,-0.018,0.6931,1,8,12,17148379.34,25504768.03,6.317,Sever,0.986
CO100035,Compania G035 Rezina SRL,SRL,G-Comerț cu ridicata&amănuntul,Taraclia,Micro,2017,8,10,3042117.3,3117146.98,1683001.7,1434145.28,952223.31,172336.17,73830.11,0.2113,0.1827,17.86,1.2,0.94,-0.071,-0.036,0.178,0.388,-0.169,0.0237,0,13,10,4944762.42,18422161.73,1.101,Ridicat,0.7
CO100036,Compania G036 Căușeni SRL,SRL,G-Comerț cu ridicata&amănuntul,Orhei,Mijlocii,2013,12,198,130922956.25,102406029.22,55583172.31,46822856.91,21697210.28,11882276.09,2722502.59,0.1883,0.1262,11.22,1.65,1.16,0.095,-0.083,0.161,0.353,0.058,0.0006,0,10,19,24237119.06,29410829.64,0.232,Scăzut,0.869
CO100037,Compania G037 Briceni SRL,SRL,G-Comerț cu ridicata&amănuntul,Ungheni,Micro,2012,13,8,1650014.3,2552613.47,1620078.15,932535.32,606525.6,272541.51,145911.77,-0.0187,-0.1187,0.0,1.68,1.43,0.004,-0.2,-0.077,-0.21,0.34,0.0493,0,8,11,12177195.02,10151443.58,3.977,Sever,0.967
CO100038,Compania I038 Sîngerei SA,SA,I-HoReCa,Nisporeni,Micro,2003,22,3,1296488.73,1825753.34,1523412.86,302340.48,804550.5,398499.71,44964.65,0.2005,0.1384,2.36,1.32,0.83,-0.004,0.156,0.098,0.5,0.313,0.0616,0,12,14,12544922.94,12189666.6,10.0,Sever,0.68
CO100039,Compania E039 Rezina SRL,SRL,E-Apă&Deșeuri,Rezina,Micro,2003,22,1,4095479.24,5854925.09,2926800.47,2928124.62,2102666.63,610981.25,205484.59,0.1307,0.0886,2.07,0.74,0.06,-0.086,0.16,0.062,0.124,0.005,0.1354,0,5,9,6802756.42,4871498.7,1.004,Ridicat,1.0
CO100040,Compania G040 Fălești SRL,SRL,G-Comerț cu ridicata&amănuntul,Edineț,Micro,2004,21,6,625504.76,1000000.0,546492.3,453507.7,364866.91,89615.35,46620.75,0.1782,0.1333,2.54,1.4,0.84,0.085,0.155,0.083,0.184,0.012,0.0411,0,9,9,4848443.59,8810704.45,4.82,Sever,0.922
CO100041,Compania L041 Sîngerei SA,SA,L-Imobiliare,Ștefan Vodă,Micro,2020,5,7,2131921.76,3176071.01,2110738.37,1065332.64,1232451.72,273343.58,187618.04,0.3317,0.25,6.07,1.68,1.26,0.064,0.0,0.168,0.5,0.114,0.0058,0,14,15,12650824.19,8170589.75,6.272,Sever,0.824
CO100042,Compania M042 Fălești SA,SA,M-Servicii profesionale,Leova,Mici,2011,14,32,38469761.2,35593352.05,22429225.78,13164126.26,8730430.27,6398952.16,1872357.18,0.1642,0.1584,7.19,0.9,0.63,0.163,0.216,0.171,0.463,0.323,0.0066,0,11,8,14256651.17,36142895.47,0.276,Scăzut,0.925
CO100043,Compania E043 Ungheni SRL,SRL,E-Apă&Deșeuri,Ocnița,Mici,2016,9,46,4710933.69,4497053.61,2948543.0,1548510.61,1241310.4,454181.0,237811.36,0.2495,0.167,7.11,1.02,0.64,-0.016,0.127,0.175,0.5,0.137,0.0262,0,11,3,16859712.54,6061117.98,6.325,Sever,0.929
CO100044,Compania C044 Șoldănești SRL,SRL,C-Industrie prelucrătoare,Călărași,Mici,2017,8,44,12343026.77,14660321.8,3133728.88,11526592.92,2089426.5,755944.61,251757.43,0.155,0.1049,7.22,1.47,1.02,0.123,0.284,0.088,0.112,0.016,0.0017,0,9,6,8485513.3,10443077.81,0.347,Moderat,0.864
CO100045,Compania A045 Criuleni SRL,SRL,A-Agricultură,Ștefan Vodă,Mici,2014,11,31,18478585.59,15394940.97,12158782.28,3236158.7,8382891.2,2305355.59,420435.0,0.2926,0.25,5.36,1.73,1.31,-0.037,0.062,0.3,0.5,-0.126,0.0068,0,9,8,10215164.68,6338113.39,2.021,Sever,0.928
CO100046,Compania N046 Florești SRL,SRL,N-Servicii administrative,Dubăsari,Micro,2007,18,6,3103490.53,3106329.71,2474813.05,631516.66,1540928.75,428641.48,223530.35,0.0514,0.0383,1.48,1.26,0.98,0.06,0.122,0.038,0.188,0.208,0.0933,0,7,8,7916221.04,4208876.11,4.953,Sever,0.84
CO100047,Compania N047 Orhei SRL,SRL,N-Servicii administrative,Cimișlia,Mijlocii,1998,27,211,18452909.24,16928578.67,6235023.23,10693555.44,4574618.94,1587042.8,162269.02,0.1012,0.0866,3.99,1.35,1.13,0.182,0.034,0.094,0.149,0.103,0.0044,0,11,8,26112532.72,3204784.55,0.533,Moderat,0.939
CO100048,Compania A048 Cahul SRL,SRL,A-Agricultură,Basarabeasca,Micro,1992,33,5,1105154.18,1699856.96,1042962.92,656894.04,761744.81,162560.78,92738.61,0.0336,-0.0107,0.45,2.37,1.85,0.118,0.307,-0.007,-0.018,-0.161,0.0153,0,12,15,19335108.29,54481170.05,10.0,Sever,0.95
CO100049,Compania C049 Briceni SRL,SRL,C-Industrie prelucrătoare,Chișinău,Micro,2021,4,5,3274894.8,3797881.42,1771621.99,2026259.43,895988.87,318523.36,75258.5,0.062,-0.0551,1.35,0.84,0.35,0.265,0.049,-0.048,-0.089,0.209,0.07,0,8,12,12822528.84,16064335.25,2.054,Sever,0.943
CO100050,Compania F050 Cahul II,II,F-Construcții,Sîngerei,Micro,1996,29,9,2621926.49,2957154.71,1788259.51,1168895.2,966991.14,247043.58,40308.37,0.0482,-0.0062,0.89,0.88,0.17,0.044,0.091,-0.005,-0.014,0.199,0.1763,0,7,12,2509504.32,16553889.63,0.73,Ridicat,0.986
CO100051,Compania G051 Fălești SRL,SRL,G-Comerț cu ridicata&amănuntul,Cahul,Micro,2015,10,12,1580502.43,1554781.34,1133059.74,421721.6,828295.31,148727.65,99931.77,0.1912,0.1508,4.25,1.28,0.74,0.203,0.294,0.153,0.5,0.021,0.0364,0,13,12,14359434.4,12606055.58,9.133,Sever,0.825
CO100052,Compania A052 Briceni SRL,SRL,A-Agricultură,Șoldănești,Micro,2002,23,1,1349044.57,1873772.61,1619871.98,253900.63,854624.29,482523.84,110156.81,0.0903,0.1162,0.89,1.18,0.52,0.036,0.557,0.084,0.5,-0.05,0.2651,1,13,11,22469224.03,8619433.84,10.0,Sever,0.863
CO100053,Compania I053 Sîngerei SRL,SRL,I-HoReCa,Hîncești,Micro,2021,4,10,2332119.39,3603674.14,1607770.62,1995903.52,870144.76,206875.0,121727.18,0.1181,0.0388,4.69,1.26,0.92,0.108,0.242,0.025,0.045,-0.191,0.023,0,3,6,3971542.68,5240279.19,0.894,Ridicat,1.0
CO100054,Compania A054 Căușeni SRL,SRL,A-Agricultură,Nisporeni,Mijlocii,1999,26,150,91389612.12,71878549.08,43259454.31,28619094.76,19140454.91,7955810.38,1454817.95,0.0912,0.0065,3.53,1.85,1.52,0.119,0.054,0.008,0.021,-0.106,0.0019,0,11,11,15419899.66,6645697.55,0.277,Scăzut,0.899
CO100055,Compania C055 Glodeni SRL,SRL,C-Industrie prelucrătoare,Ștefan Vodă,Mari,2012,13,342,1055654923.74,1013327345.52,871484838.91,141842506.62,306268760.04,258829485.02,34077855.19,0.214,0.1735,6.61,1.19,0.76,-0.018,0.247,0.181,0.5,0.141,0.0015,0,14,6,103870936.07,7656657.89,0.41,Moderat,0.968
CO100056,Compania C056 Rîșcani SRL,SRL,C-Industrie prelucrătoare,Ocnița,Micro,2003,22,5,2307186.55,2702539.87,698078.17,2004461.7,520849.4,105715.38,15878.45,0.2646,0.1837,10.15,2.13,1.59,0.017,0.127,0.157,0.211,0.365,0.0004,0,18,5,16460558.42,8638419.91,2.198,Sever,0.824
CO100057,Compania C057 Bălți SRL,SRL,C-Industrie prelucrătoare,Chișinău,Mici,2011,14,16,18703162.52,16803117.55,12277848.33,4525269.22,8398331.08,3152765.43,1070213.31,0.1216,0.0631,1.86,1.42,0.85,0.21,0.268,0.07,0.261,0.199,0.0145,0,8,9,9997749.24,11548876.23,0.649,Moderat,0.899
CO100058,Compania D058 UTA Găgăuzia SA,SA,D-Energie/Electricitate,Ialoveni,Mijlocii,1992,33,88,48454698.66,44677155.31,19915017.63,24762137.68,13397945.73,5572828.11,1006329.3,0.146,0.0758,6.11,1.0,0.58,0.239,0.062,0.082,0.148,0.234,0.0032,0,14,9,18969202.03,17217769.39,0.316,Moderat,0.827
CO100059,Compania A059 Cantemir SRL,SRL,A-Agricultură,Hîncești,Mijlocii,2024,1,76,127423731.86,108152712.64,58740689.33,49412023.31,43285914.96,8058290.78,2796755.91,0.1782,0.1128,3.94,2.53,1.9,0.012,0.022,0.133,0.291,-0.036,0.0002,0,12,7,28909259.87,13866624.63,0.266,Scăzut,0.709
CO100060,Compania E060 Căușeni SRL,SRL,E-Apă&Deșeuri,Ungheni,Mari,2014,11,204,616527485.43,492959516.49,364950904.29,128008612.19,165973079.23,76822664.46,33592477.94,0.1355,0.1,4.04,1.32,0.71,0.197,-0.126,0.125,0.482,-0.152,0.0024,0,11,11,26293852.97,26544967.74,0.092,Foarte scăzut,0.864
CO100061,Compania F061 Criuleni SRL,SRL,F-Construcții,Drochia,Micro,2019,6,7,2822834.05,2844792.12,1927198.26,917593.86,747064.94,317832.2,98409.72,0.1772,0.1428,3.54,1.37,0.81,0.097,0.099,0.142,0.439,-0.015,0.0319,0,9,9,4643241.85,4407879.43,1.574,Ridicat,0.911
CO100062,Compania J062 Cahul SRL,SRL,J-Informații&Comunicații,Hîncești,Mijlocii,2015,10,91,63375084.34,69493923.06,66019226.91,3474696.15,26134966.11,14827897.67,1828208.41,0.2481,0.1663,6.34,0.89,0.46,0.241,-0.016,0.152,0.5,0.098,0.0121,0,11,16,29426605.51,13671363.91,3.458,Sever,0.896
CO100063,Compania C063 Briceni SRL,SRL,C-Industrie prelucrătoare,Basarabeasca,Micro,2009,16,8,2271581.86,2817086.2,464377.91,2352708.3,241588.83,112114.73,9876.41,0.1194,0.0755,9.07,0.75,0.51,-0.015,0.219,0.061,0.073,0.21,0.0171,0,5,10,1237286.06,24545093.53,0.166,Scăzut,1.0
CO100064,Compania I064 Bălți SRL,SRL,I-HoReCa,Criuleni,Mici,2003,22,44,7890071.74,9521095.3,4050333.75,5470761.55,3023436.68,634433.54,269456.71,0.1353,0.0334,4.1,1.35,0.96,0.182,0.209,0.028,0.048,0.001,0.0076,0,7,7,16465264.66,4340476.53,1.358,Ridicat,0.978
CO100065,Compania P065 Cahul SA,SA,P-Educație,Dubăsari,Mijlocii,2019,6,63,83738905.56,82346037.03,42837125.64,39508911.39,26990470.63,10899106.92,1515011.19,0.2298,0.1991,7.6,1.4,1.15,0.317,0.111,0.202,0.422,0.006,0.001,0,16,8,15544469.65,6931000.63,0.162,Scăzut,0.727
CO100066,Compania F066 Fălești SRL,SRL,F-Construcții,Anenii Noi,Micro,1994,31,8,1856680.68,2175309.67,801360.92,1373948.75,514437.85,227068.89,41709.97,0.0323,-0.0247,0.89,1.36,1.19,-0.072,-0.018,-0.021,-0.033,0.062,0.0629,0,10,7,21937369.13,6660083.87,4.94,Sever,0.975
CO100067,Compania A067 Bălți SRL,SRL,A-Agricultură,Criuleni,Mici,2006,19,27,3495493.07,3989429.91,2933393.7,1056036.22,2135132.27,696048.95,215862.09,0.1126,0.0603,1.48,0.2,0.05,-0.17,-0.06,0.053,0.2,-0.09,0.7738,1,11,10,5975759.64,3470602.21,1.791,Ridicat,0.798
CO100068,Compania H068 Cahul II,II,H-Transport&Depozitare,Nisporeni,Mijlocii,1996,29,159,41380790.33,38206596.19,11105285.11,27101311.08,6402744.16,2685193.1,311004.04,0.0762,-0.0111,6.45,1.77,1.48,0.271,-0.195,-0.012,-0.017,-0.138,0.0007,0,12,9,12675926.06,14337705.21,0.112,Scăzut,0.838
CO100069,Compania G069 Leova SRL,SRL,G-Comerț cu ridicata&amănuntul,Cantemir,Mijlocii,2000,25,77,318222670.73,298628927.29,234727377.74,63901549.55,169310695.43,49505061.09,20093644.45,0.2014,0.1418,7.33,1.43,0.87,-0.162,0.276,0.151,0.5,-0.229,0.0034,0,11,13,8406524.8,38086738.34,0.062,Foarte scăzut,0.776
CO100070,Compania C070 Cantemir SRL,SRL,C-Industrie prelucrătoare,Bălți,Mici,2010,15,43,24098765.04,22512320.89,18982807.55,3529513.34,11960422.18,3907431.68,868090.73,0.063,-0.029,0.74,1.01,0.64,0.099,-0.099,-0.031,-0.198,-0.008,0.1181,0,4,9,9149871.01,17047018.53,1.973,Ridicat,1.0
CO100071,Compania F071 Leova SRL,SRL,F-Construcții,Bălți,Mijlocii,2016,9,68,184353249.32,192619218.88,78894230.45,113724988.43,38504658.72,13933258.38,5650307.91,0.2172,0.1952,7.17,0.35,0.05,-0.055,0.088,0.187,0.316,0.15,0.0093,0,19,11,55563414.1,185940386.17,0.275,Scăzut,0.748
CO100072,Compania C072 UTA Găgăuzia II,II,C-Industrie prelucrătoare,Dondușeni,Micro,2009,16,7,2960595.89,2932473.07,1613366.11,1319106.96,820933.65,415954.62,133316.14,0.1697,0.1327,7.01,1.24,0.81,-0.124,0.201,0.134,0.298,0.27,0.0169,0,12,3,17478949.67,1178279.07,3.491,Sever,0.9
CO100073,Compania H073 Dubăsari SRL,SRL,H-Transport&Depozitare,Bălți,Micro,2006,19,6,1794708.54,2256096.87,1314262.23,941834.63,677941.42,310051.55,96403.6,0.2112,0.1696,4.23,1.8,1.5,0.214,0.134,0.135,0.323,-0.307,0.0105,0,13,6,25255867.95,7129796.72,8.948,Sever,0.846
CO100074,Compania L074 Ialoveni SA,SA,L-Imobiliare,Edineț,Mici,1999,26,33,16364336.26,20887709.02,15189040.74,5698668.28,8727427.46,4049597.56,644104.6,0.1922,0.1606,2.15,0.37,0.13,0.08,0.132,0.126,0.461,-0.057,0.1933,0,11,8,16352716.32,10512394.09,2.096,Sever,0.909
CO100075,Compania G075 Soroca SA,SA,G-Comerț cu ridicata&amănuntul,Edineț,Micro,1992,33,6,3353406.14,3412841.02,1690701.19,1722139.83,815778.16,303593.78,109393.71,0.1532,0.1464,4.71,1.48,0.94,0.181,0.049,0.144,0.285,0.316,0.0056,0,8,12,31027245.93,20179645.22,7.759,Sever,0.954
CO100076,Compania G076 Ialoveni SRL,SRL,G-Comerț cu ridicata&amănuntul,Fălești,Mici,2016,9,27,7526722.51,7983493.67,3096872.91,4886620.76,1720030.94,752821.12,72773.11,0.1999,0.1344,6.22,0.88,0.05,0.19,0.22,0.127,0.207,0.156,0.0108,0,11,10,22168898.44,14306369.3,1.581,Ridicat,0.934
